protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,202,98,104,0.908163,0.923469,0.96114,89,4706,7712,7712,0,0,1903.198208,0.396913,0.672592,13778,364110,199453,4691,2932,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,202,98,104,0.55102,0.940149,0.405483,54,4791,6022,4928,1094,54,1486.133248,0.306735,0.685526,14187,280891,138588,3262,0,1019,21,46,52,0,0,0.0,0.181667,0,0,0.0,-1
calm-mesh,1,1200.0,202,98,104,0.530612,0.94113,0.63565,52,4796,5030,4328,702,52,1241.32352,0.256049,0.594171,13507,232963,112378,2716,1398,637,13,55,43,0,5,0.945524,0.139563,0,0,0.0,-1
smart-calm,1,1200.0,202,98,104,0.928571,0.937598,14.32791,91,4778,5560,4764,796,106,1372.11904,0.281807,0.905289,19467,252336,131948,3412,1674,676,14,61,37,456,6,0.89429,0.143165,8,136,100.965228,2
meshtastic-like,2,1200.0,205,109,96,0.899083,0.882228,0.727984,98,4150,7435,7435,0,0,1834.83904,0.43193,0.860446,15117,349051,198603,6091,3459,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,205,109,96,0.495413,0.917092,0.377066,54,4314,5468,4464,1004,54,1349.414912,0.308932,0.455356,13220,254712,119653,2791,0,928,22,46,63,0,0,0.0,0.183614,0,0,0.0,-1
calm-mesh,2,1200.0,205,109,96,0.394495,0.923044,0.661965,43,4342,4548,3868,680,43,1122.373632,0.255957,0.50793,11949,210903,104760,2457,1377,625,12,39,70,61,7,0.939912,0.149516,0,0,0.0,-1
smart-calm,2,1200.0,205,109,96,0.908257,0.900723,23.968522,99,4237,6122,5387,735,110,1510.811648,0.348434,1.173227,17763,282215,147148,3345,1802,612,13,27,82,1651,8,0.876036,0.120059,6,146,61.489085,0
meshtastic-like,3,1200.0,216,123,93,0.902439,0.883257,0.939213,111,4025,7756,7756,0,0,1914.056704,0.46278,0.759228,15180,364864,206188,5665,3485,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,216,123,93,0.365854,0.929339,0.367434,45,4235,5190,4352,838,45,1280.80896,0.299254,0.487588,11808,242453,107506,2360,0,777,16,42,81,0,0,0.0,0.161464,0,0,0.0,-1
calm-mesh,3,1200.0,216,123,93,0.682927,0.924951,0.799991,84,4215,4924,3911,1013,89,1215.164416,0.282662,0.446791,16488,224739,109478,2543,1356,909,15,84,39,170,14,0.942495,0.205727,0,0,0.0,-1
smart-calm,3,1200.0,216,123,93,0.910569,0.931753,12.994654,112,4246,5152,4283,869,119,1271.431168,0.291746,0.94988,20051,232348,117968,3103,1644,736,14,80,43,556,9,0.944449,0.168672,9,160,114.391246,0
meshtastic-like,4,1200.0,203,94,109,0.914894,0.90058,0.865688,86,4810,7312,7312,0,0,1804.484608,0.368563,0.822292,14594,343694,194507,5586,3432,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,203,94,109,0.425532,0.922299,0.407194,40,4926,5959,5067,892,42,1470.585856,0.296131,0.591619,13698,278293,134934,3551,0,830,20,38,56,0,0,0.0,0.14969,0,0,0.0,-1
calm-mesh,4,1200.0,203,94,109,0.457447,0.93709,0.877291,43,5005,5241,4407,834,43,1293.394944,0.256219,0.710281,14434,242375,127872,3865,1920,777,14,48,46,99,10,0.943432,0.15913,0,0,0.0,-1
smart-calm,4,1200.0,203,94,109,0.893617,0.92361,11.83141,84,4933,5223,4364,859,91,1288.952832,0.256917,0.826521,18500,237427,124406,3426,1826,753,15,69,25,127,9,0.9463,0.164465,3,134,125.638998,0
meshtastic-like,5,1200.0,174,91,83,0.912088,0.894763,0.80064,83,3639,6404,6404,0,0,1580.404736,0.424612,0.523133,11552,302244,161620,3843,2597,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,174,91,83,0.494505,0.925498,0.422275,45,3764,4801,3900,901,47,1184.809984,0.311055,0.444359,11509,223740,105238,2406,0,834,20,37,54,0,0,0.0,0.187669,0,0,0.0,-1
calm-mesh,5,1200.0,174,91,83,0.505495,0.945168,0.924652,46,3844,4374,3523,851,46,1079.433216,0.277489,0.548434,12245,202081,104473,3015,1381,793,12,40,51,147,11,0.944942,0.194559,0,0,0.0,-1
smart-calm,5,1200.0,174,91,83,0.89011,0.944677,10.933213,81,3842,4317,3492,825,88,1065.366528,0.271569,0.832944,16110,195423,103883,2883,1473,723,14,61,30,96,9,0.930695,0.191105,1,125,84.5484,0
meshtastic-like,6,1200.0,186,104,82,0.913462,0.902439,0.563952,95,3626,6797,6797,0,0,1677.390848,0.45079,0.882275,13379,319331,181928,5117,3026,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,186,104,82,0.644231,0.888253,0.379384,67,3569,4798,3679,1119,67,1184.069632,0.325652,0.60544,14429,220673,107078,3250,0,1030,22,63,41,0,0,0.0,0.233222,0,0,0.0,-1
calm-mesh,6,1200.0,186,104,82,0.596154,0.920856,0.811176,62,3700,4144,3288,856,62,1022.672896,0.271843,0.668285,13450,189606,97563,2412,1259,779,15,58,46,77,9,0.947326,0.206564,0,0,0.0,-1
smart-calm,6,1200.0,186,104,82,0.932692,0.894475,7.432716,97,3594,4178,3291,887,104,1031.063552,0.279345,0.800989,17032,187690,94926,2323,1234,768,15,83,21,100,9,0.951639,0.212303,8,141,143.727723,2
meshtastic-like,7,1200.0,222,123,99,0.934959,0.954442,0.707269,115,4630,8452,8452,0,0,2085.818368,0.439582,0.684083,16430,397669,217351,6178,3646,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,222,123,99,0.455285,0.935683,0.352549,56,4539,5645,4694,951,56,1393.09568,0.303176,0.373781,13263,263342,116166,2253,0,875,20,48,75,0,0,0.0,0.168468,0,0,0.0,-1
calm-mesh,7,1200.0,222,123,99,0.642276,0.947021,0.694499,79,4594,5164,4202,962,82,1274.392576,0.272714,0.512256,16586,236450,118893,2972,1470,866,14,75,48,98,10,0.942932,0.18629,0,0,0.0,-1
smart-calm,7,1200.0,222,123,99,0.943089,0.957535,8.845645,116,4645,5706,4733,973,128,1408.149504,0.295768,0.732325,20712,258833,131128,3410,1649,831,14,90,33,568,14,0.939055,0.170522,15,162,122.294847,2
meshtastic-like,8,1200.0,207,100,107,0.95,0.92695,0.752438,95,4860,7897,7897,0,0,1948.853248,0.39331,0.621356,14322,372288,203473,4810,3192,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,207,100,107,0.7,0.944116,0.394854,70,4950,6402,5135,1267,70,1579.911168,0.314723,0.425547,15540,298158,133459,2486,0,1172,25,56,44,0,0,0.0,0.197907,0,0,0.0,-1
calm-mesh,8,1200.0,207,100,107,0.76,0.971963,0.73164,76,5096,5454,4581,873,76,1345.959936,0.26024,0.403803,16085,251161,120634,2336,1363,782,15,70,30,31,8,0.943552,0.160066,0,0,0.0,-1
smart-calm,8,1200.0,207,100,107,0.9,0.95308,5.534204,90,4997,5547,4652,895,97,1368.910848,0.2691,0.470323,17981,253822,123729,2546,1312,783,15,78,22,119,9,0.942098,0.161348,7,136,109.375903,0
meshtastic-like,9,1200.0,193,90,103,0.944444,0.938577,0.747946,85,4737,7194,7194,0,0,1775.364096,0.36818,0.885281,14715,337791,192349,5815,3469,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,193,90,103,0.5,0.933624,0.38937,45,4712,5761,4864,897,45,1421.722624,0.29887,0.588336,13709,268580,129015,3845,0,835,17,40,50,0,0,0.0,0.155702,0,0,0.0,-1
calm-mesh,9,1200.0,193,90,103,0.766667,0.955419,0.951736,69,4822,5237,4275,962,70,1292.407808,0.264242,0.583395,16036,240577,124319,3256,1748,877,15,66,24,102,12,0.942497,0.183693,0,0,0.0,-1
smart-calm,9,1200.0,193,90,103,0.977778,0.942144,6.892332,88,4755,5033,4192,841,92,1242.063872,0.256466,0.692006,18066,228551,114857,3058,1600,735,14,73,17,13,7,0.952195,0.167097,7,129,133.847497,0
meshtastic-like,10,1200.0,208,105,103,0.895238,0.895582,0.745272,94,4520,7584,7584,0,0,1871.609856,0.405637,0.62087,13959,356824,196209,4800,3129,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,208,105,103,0.466667,0.987319,0.367658,49,4983,5942,5143,799,49,1466.390528,0.291413,0.408126,13333,277825,128498,2758,0,736,14,45,60,0,0,0.0,0.134467,0,0,0.0,-1
calm-mesh,10,1200.0,208,105,103,0.742857,0.980186,0.726976,78,4947,5469,4508,961,78,1349.661696,0.268589,0.473213,17016,250965,124555,2783,1502,867,16,76,29,136,13,0.94896,0.175718,0,0,0.0,-1
smart-calm,10,1200.0,208,105,103,0.933333,0.985536,9.436458,98,4974,5663,4912,751,103,1397.537792,0.27554,0.5982,18168,259270,122719,2305,1369,635,13,82,23,354,7,0.941952,0.132615,6,139,123.368649,1
meshtastic-like,11,1200.0,247,122,125,0.92623,0.869224,1.092427,113,5324,8785,8785,0,0,2167.99744,0.398749,0.758399,17939,412526,232907,7116,4140,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,11,1200.0,247,122,125,0.516393,0.923918,0.419141,63,5659,6848,5818,1030,75,1689.976832,0.295347,0.54615,17386,318166,143649,3324,0,934,21,61,61,0,0,0.0,0.150409,0,0,0.0,-1
calm-mesh,11,1200.0,247,122,125,0.770492,0.93649,0.557509,94,5736,6036,5096,940,94,1489.588224,0.255504,0.618164,19279,276485,138177,3248,1876,830,16,100,22,24,9,0.94553,0.155732,0,0,0.0,-1
smart-calm,11,1200.0,247,122,125,0.901639,0.930939,11.283986,110,5702,6381,5517,864,122,1574.728704,0.270944,0.904714,21408,291261,148639,3523,1958,726,16,81,41,443,8,0.941853,0.135402,10,158,111.168728,0
meshtastic-like,12,1200.0,213,106,107,0.867925,0.951364,0.809405,92,4988,7884,7884,0,0,1945.645056,0.383001,0.597585,14400,371916,203815,4968,3114,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,12,1200.0,213,106,107,0.254717,0.980355,0.374746,27,5140,5842,5265,577,27,1441.712128,0.279023,0.512118,11218,275040,129986,2861,0,539,11,27,79,0,0,0.0,0.098768,0,0,0.0,-1
calm-mesh,12,1200.0,213,106,107,0.556604,0.957658,0.816367,59,5021,5410,4612,798,60,1335.10144,0.262815,0.503296,14758,250332,123593,2906,1630,724,14,56,50,162,12,0.942533,0.147505,0,0,0.0,-1
smart-calm,12,1200.0,213,106,107,0.896226,0.954797,15.780411,95,5006,6686,5767,919,111,1649.997824,0.323466,0.799182,19559,308055,153484,3187,1875,796,12,56,50,1276,14,0.937895,0.137451,8,146,90.600809,1
meshtastic-like,13,1200.0,210,99,111,0.888889,0.915426,0.843245,88,4979,7703,7703,0,0,1900.977152,0.375168,0.755859,14753,362694,200202,5483,3232,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,13,1200.0,210,99,111,0.535354,0.926641,0.381817,53,5040,6306,5199,1107,54,1556.219904,0.305561,0.575184,14831,294163,139438,3270,0,1029,24,54,45,0,0,0.0,0.175547,0,0,0.0,-1
