protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
meshtastic-like,1,1200.0,202,98,104,0.908163,0.923469,0.96114,89,4706,7712,7712,0,0,1903.198208,0.396913,0.672592,13778,364110,199453,4691,2932,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,1,1200.0,202,98,104,0.55102,0.940149,0.405483,54,4791,6022,4928,1094,54,1486.133248,0.306735,0.685526,14187,280891,138588,3262,0,1019,21,46,52,0,0,0.0,0.181667,0,0,0.0,-1
calm-mesh,1,1200.0,202,98,104,0.530612,0.94113,0.63565,52,4796,5030,4328,702,52,1241.32352,0.256049,0.594171,13507,232963,112378,2716,1398,637,13,55,43,0,5,0.945524,0.139563,0,0,0.0,-1
smart-calm,1,1200.0,202,98,104,0.887755,0.940345,11.040145,87,4792,6418,5594,824,94,1583.859712,0.324628,0.773755,17367,297115,149669,2646,1540,717,13,63,35,1208,7,0.92875,0.128389,8,134,90.271677,2
meshtastic-like,2,1200.0,205,109,96,0.899083,0.882228,0.727984,98,4150,7435,7435,0,0,1834.83904,0.43193,0.860446,15117,349051,198603,6091,3459,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,2,1200.0,205,109,96,0.495413,0.917092,0.377066,54,4314,5468,4464,1004,54,1349.414912,0.308932,0.455356,13220,254712,119653,2791,0,928,22,46,63,0,0,0.0,0.183614,0,0,0.0,-1
calm-mesh,2,1200.0,205,109,96,0.394495,0.923044,0.661965,43,4342,4548,3868,680,43,1122.373632,0.255957,0.50793,11949,210903,104760,2457,1377,625,12,39,70,61,7,0.939912,0.149516,0,0,0.0,-1
smart-calm,2,1200.0,205,109,96,0.880734,0.870323,23.616077,96,4094,6867,6135,732,107,1694.665728,0.404455,1.186385,17505,318978,161429,3527,1900,612,13,27,82,2437,8,0.876036,0.106597,6,146,44.1978,0
meshtastic-like,3,1200.0,216,123,93,0.902439,0.883257,0.939213,111,4025,7756,7756,0,0,1914.056704,0.46278,0.759228,15180,364864,206188,5665,3485,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,3,1200.0,216,123,93,0.365854,0.929339,0.367434,45,4235,5190,4352,838,45,1280.80896,0.299254,0.487588,11808,242453,107506,2360,0,777,16,42,81,0,0,0.0,0.161464,0,0,0.0,-1
calm-mesh,3,1200.0,216,123,93,0.682927,0.924951,0.799991,84,4215,4924,3911,1013,89,1215.164416,0.282662,0.446791,16488,224739,109478,2543,1356,909,15,84,39,170,14,0.942495,0.205727,0,0,0.0,-1
smart-calm,3,1200.0,216,123,93,0.902439,0.91749,8.391423,111,4181,5266,4346,920,120,1299.564544,0.302788,0.817365,19824,238161,119290,2755,1578,785,15,90,33,658,10,0.952766,0.174706,5,159,121.573276,0
meshtastic-like,4,1200.0,203,94,109,0.914894,0.90058,0.865688,86,4810,7312,7312,0,0,1804.484608,0.368563,0.822292,14594,343694,194507,5586,3432,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,4,1200.0,203,94,109,0.425532,0.922299,0.407194,40,4926,5959,5067,892,42,1470.585856,0.296131,0.591619,13698,278293,134934,3551,0,830,20,38,56,0,0,0.0,0.14969,0,0,0.0,-1
calm-mesh,4,1200.0,203,94,109,0.457447,0.93709,0.877291,43,5005,5241,4407,834,43,1293.394944,0.256219,0.710281,14434,242375,127872,3865,1920,777,14,48,46,99,10,0.943432,0.15913,0,0,0.0,-1
smart-calm,4,1200.0,203,94,109,0.861702,0.923048,18.210324,81,4930,6145,5419,726,83,1516.48768,0.302632,0.915527,17421,283684,144926,3455,1956,631,12,52,42,1086,5,0.944893,0.118145,2,133,93.579849,1
meshtastic-like,5,1200.0,174,91,83,0.912088,0.894763,0.80064,83,3639,6404,6404,0,0,1580.404736,0.424612,0.523133,11552,302244,161620,3843,2597,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,5,1200.0,174,91,83,0.494505,0.925498,0.422275,45,3764,4801,3900,901,47,1184.809984,0.311055,0.444359,11509,223740,105238,2406,0,834,20,37,54,0,0,0.0,0.187669,0,0,0.0,-1
calm-mesh,5,1200.0,174,91,83,0.505495,0.945168,0.924652,46,3844,4374,3523,851,46,1079.433216,0.277489,0.548434,12245,202081,104473,3015,1381,793,12,40,51,147,11,0.944942,0.194559,0,0,0.0,-1
smart-calm,5,1200.0,174,91,83,0.912088,0.944677,11.11202,83,3842,5113,4326,787,89,1261.806592,0.321479,0.841081,15940,234597,119782,2819,1572,685,13,53,38,883,8,0.953094,0.153921,3,125,90.097628,0
meshtastic-like,6,1200.0,186,104,82,0.913462,0.902439,0.563952,95,3626,6797,6797,0,0,1677.390848,0.45079,0.882275,13379,319331,181928,5117,3026,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,6,1200.0,186,104,82,0.644231,0.888253,0.379384,67,3569,4798,3679,1119,67,1184.069632,0.325652,0.60544,14429,220673,107078,3250,0,1030,22,63,41,0,0,0.0,0.233222,0,0,0.0,-1
calm-mesh,6,1200.0,186,104,82,0.596154,0.920856,0.811176,62,3700,4144,3288,856,62,1022.672896,0.271843,0.668285,13450,189606,97563,2412,1259,779,15,58,46,77,9,0.947326,0.206564,0,0,0.0,-1
smart-calm,6,1200.0,186,104,82,0.913462,0.905177,7.178747,95,3637,4272,3388,884,101,1054.261248,0.282492,0.844357,17060,192268,99278,2497,1330,768,15,83,21,186,9,0.952869,0.206929,5,141,139.256963,0
meshtastic-like,7,1200.0,222,123,99,0.934959,0.954442,0.707269,115,4630,8452,8452,0,0,2085.818368,0.439582,0.684083,16430,397669,217351,6178,3646,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,7,1200.0,222,123,99,0.455285,0.935683,0.352549,56,4539,5645,4694,951,56,1393.09568,0.303176,0.373781,13263,263342,116166,2253,0,875,20,48,75,0,0,0.0,0.168468,0,0,0.0,-1
calm-mesh,7,1200.0,222,123,99,0.642276,0.947021,0.694499,79,4594,5164,4202,962,82,1274.392576,0.272714,0.512256,16586,236450,118893,2972,1470,866,14,75,48,98,10,0.942932,0.18629,0,0,0.0,-1
smart-calm,7,1200.0,222,123,99,0.894309,0.955885,11.960122,110,4637,5699,4871,828,123,1406.422016,0.296276,0.760086,20447,258755,127228,3006,1671,692,13,84,39,774,8,0.948234,0.145289,6,161,107.267413,1
meshtastic-like,8,1200.0,207,100,107,0.95,0.92695,0.752438,95,4860,7897,7897,0,0,1948.853248,0.39331,0.621356,14322,372288,203473,4810,3192,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,8,1200.0,207,100,107,0.7,0.944116,0.394854,70,4950,6402,5135,1267,70,1579.911168,0.314723,0.425547,15540,298158,133459,2486,0,1172,25,56,44,0,0,0.0,0.197907,0,0,0.0,-1
calm-mesh,8,1200.0,207,100,107,0.76,0.971963,0.73164,76,5096,5454,4581,873,76,1345.959936,0.26024,0.403803,16085,251161,120634,2336,1363,782,15,70,30,31,8,0.943552,0.160066,0,0,0.0,-1
smart-calm,8,1200.0,207,100,107,0.89,0.95308,4.050319,89,4997,5625,4682,943,96,1388.16,0.272937,0.453817,18302,257323,124788,2752,1354,833,14,79,21,173,10,0.94414,0.167644,8,138,101.356639,2
meshtastic-like,9,1200.0,193,90,103,0.944444,0.938577,0.747946,85,4737,7194,7194,0,0,1775.364096,0.36818,0.885281,14715,337791,192349,5815,3469,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,9,1200.0,193,90,103,0.5,0.933624,0.38937,45,4712,5761,4864,897,45,1421.722624,0.29887,0.588336,13709,268580,129015,3845,0,835,17,40,50,0,0,0.0,0.155702,0,0,0.0,-1
calm-mesh,9,1200.0,193,90,103,0.766667,0.955419,0.951736,69,4822,5237,4275,962,70,1292.407808,0.264242,0.583395,16036,240577,124319,3256,1748,877,15,66,24,102,12,0.942497,0.183693,0,0,0.0,-1
smart-calm,9,1200.0,193,90,103,0.977778,0.942144,6.883241,88,4755,5122,4281,841,92,1264.027648,0.261001,0.691841,18089,232889,116408,3072,1609,735,14,73,17,88,7,0.952601,0.164194,3,129,133.610479,0
meshtastic-like,10,1200.0,208,105,103,0.895238,0.895582,0.745272,94,4520,7584,7584,0,0,1871.609856,0.405637,0.62087,13959,356824,196209,4800,3129,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,10,1200.0,208,105,103,0.466667,0.987319,0.367658,49,4983,5942,5143,799,49,1466.390528,0.291413,0.408126,13333,277825,128498,2758,0,736,14,45,60,0,0,0.0,0.134467,0,0,0.0,-1
calm-mesh,10,1200.0,208,105,103,0.742857,0.980186,0.726976,78,4947,5469,4508,961,78,1349.661696,0.268589,0.473213,17016,250965,124555,2783,1502,867,16,76,29,136,13,0.94896,0.175718,0,0,0.0,-1
smart-calm,10,1200.0,208,105,103,0.961905,0.981771,7.459229,101,4955,5803,5047,756,105,1432.087552,0.283245,0.562988,18874,265473,125324,2580,1520,638,13,84,21,580,6,0.936645,0.130277,7,144,129.337977,0
